id,name,category,shelf_life_days,storage,active
1,Mozzarelline,Refrigerados,5,Refrigerado,True
2,Burrata,Refrigerados,3,Refrigerado,True
3,Gorgonzola,Refrigerados,7,Refrigerado,True
4,Presunto de Parma,Embutidos,5,Refrigerado,True
5,Calabresa,Embutidos,5,Refrigerado,True
6,Pepperoni,Embutidos,5,Refrigerado,True
7,Mussarela de búfala,Refrigerados,5,Refrigerado,True
8,Cogumelo,Hortifruti,3,Refrigerado,True
9,Cogumelo fresco,Hortifruti,3,Refrigerado,True
10,Tomate seco,Conservas,7,Refrigerado,True
11,Azeitona,Conservas,7,Refrigerado,True
12,Azeite trufado,Condimentos,30,Ambiente,True
13,Geleia de pimenta,Conservas,15,Refrigerado,True
14,Vinagre balsâmico,Condimentos,30,Ambiente,True
15,Alho torrado,Secos,30,Ambiente,True
16,Nozes,Secos,30,Ambiente,True
17,Mel,Secos,30,Ambiente,True
18,Azeite de oliva,Condimentos,30,Ambiente,True
19,Molho Ciao,Molhos,3,Refrigerado,True
20,Chocolate,Secos,30,Ambiente,True
21,Alici (anchova),Conservas,3,Refrigerado,True
22,Parmesão,Refrigerados,7,Refrigerado,True
23,Açúcar,Secos,30,Ambiente,True
24,Sal,Secos,30,Ambiente,True
25,Creme de tartufaio,Conservas,7,Refrigerado,True
26,Farinha,Secos,30,Ambiente,True
27,Cacau,Secos,30,Ambiente,True
28,Alcachofra,Conservas,7,Refrigerado,True
29,Pano,Limpeza,365,Depósito separado,True
30,Orégano,Secos,30,Ambiente,True
31,Presunto,Embutidos,5,Refrigerado,True
32,Fibraça para lavar,Limpeza,365,Depósito separado,True
33,Farinha para polvilhar,Secos,30,Ambiente,True
34,Mortadela,Embutidos,5,Refrigerado,True
35,Salame,Embutidos,5,Refrigerado,True
36,Brie,Refrigerados,7,Refrigerado,True
37,Lasanha Bolonhesa,Refrigerados,5,Refrigerado,True
38,Lasanha Costela,Refrigerados,5,Refrigerado,True
39,Carne Moida,Refrigerados,5,Refrigerado,True
40,Costela,Refrigerados,5,Refrigerado,True
41,Polpeta,Refrigerados,5,Refrigerado,True
42,Pesto,Refrigerados,5,Refrigerado,True
43,Tomate Cereja,Hortifruti,3,Refrigerado,True
44,Cebola,Hortifruti,3,Refrigerado,True
45,Salvia,Hortifruti,3,Refrigerado,True
46,Manjericao,Hortifruti,3,Refrigerado,True
47,Pistache,Refrigerados,5,Refrigerado,True
48,Biga,Refrigerados,5,Refrigerado,True
49,Massa,Refrigerados,5,Refrigerado,True
50,Fermento,Refrigerados,5,Refrigerado,True
51,Camarão,Refrigerados,3,Refrigerado,True
52,Ravioli trufado de cogumelos,Refrigerados,5,Refrigerado,True
53,Ravioli de espinafre,Refrigerados,5,Refrigerado,True
54,Molho bechamel,Molhos,3,Refrigerado,True
55,Massa fresca,Refrigerados,5,Refrigerado,True
56,Alface,Hortifruti,3,Refrigerado,True
57,Arroz arbóreo,Secos,30,Ambiente,True
58,Cacau 50%,Secos,30,Ambiente,True
59,Parmesão ralado,Refrigerados,7,Refrigerado,True
60,Manteiga,Refrigerados,7,Refrigerado,True
61,Mussarela p/ lasanha,Refrigerados,5,Refrigerado,True
62,Farinha de arroz,Secos,30,Ambiente,True
63,Pão Santa Monica,Secos,3,Ambiente,True
64,Alecrim,Hortifruti,3,Refrigerado,True
65,Tiramissu geladeira,Sobremesas,5,Refrigerado,True
66,Tiramissu congelado,Sobremesas,30,Congelado,True
67, Mini Torta de limão,Sobremesas,5,Refrigerado,True
68,Cebola roxa,Hortifruti,3,Refrigerado,True
69,Caldo de legumes,Secos,30,Ambiente,True
70,Funghi,Secos,30,Ambiente,True
71,Arroz arboreo,Secos,30,Ambiente,True
72,Caldo funghi,Secos,30,Ambiente,True
